2	Spore length	11.5	µm
2	Spore length	11.5	µm
2	Spore length	12.5	µm
2	Spore length	13	µm
2	Spore length	13	µm
2	Spore length	12.5	µm
2	Spore length	11.5	µm
2	Spore length	13.5	µm
2	Spore length	11	µm
2	Spore length	11.5	µm
2	Spore length	12	µm
2	Spore length	13	µm
2	Spore length	11.5	µm
2	Spore length	12	µm
2	Spore length	12.5	µm
1	MACROCHEMICAL REACTION (10 % KOH) on pileus	brownish	
1	MACROCHEMICAL REACTION (10 % KOH) in context	brownish	
1	MACROCHEMICAL REACTION (10 % KOH) on veil at bulb margin	dark brownish to almost blackish	
1	MACROCHEMICAL REACTION (10 % KOH) on bulbipellis	negative	
1	MACROCHEMICAL REACTION (10 % KOH) on rhizomorphs	strongly blood red to pink-red	